rank,BV,title,img,up_name,plays,barrage
46,BV1YE421A7gH,当藏族少女遇上野生纪录片导演…           “卓玛我总跟我说谢谢我，让她成为了主人公，可我觉得应该是我谢谢她，让我成为了记录者”,//i2.hdslb.com/bfs/archive/5e120d94d5aac9ed79591dbffa8c8a16058ba9a9.jpg@412w_232h_1c_!web-popular.avif,煎饼果仔呀,135.3万,1231
47,BV13E4m1R7Fm,【像素猫meme】请爸妈吃饭却换来无情嘲笑???,//i1.hdslb.com/bfs/archive/4aafdcae76d3bc3bfe1f0e18ac60a158e996af23.jpg@412w_232h_1c_!web-popular.avif,代号皮克嗖儿,94万,415
48,BV191421b7n3,全球唯一！米其林32星餐厅！法国厨神餐厅！都吃些什么？,//i0.hdslb.com/bfs/archive/174e1a5a382265d19bc0f889e762f9b42307b3b8.jpg@412w_232h_1c_!web-popular.avif,HOLA小测佬,193.6万,6392
49,BV1h4421U7Ui,鞘翅在这个服务器被垄断了，但我得到了它,//i2.hdslb.com/bfs/archive/736fb5fd541e68b8ea568594cd7bd2037ce3bcbd.jpg@412w_232h_1c_!web-popular.avif,CatUper,121.1万,1460
50,BV1x4421D7Fb,混动省油？省个屁！！,//i2.hdslb.com/bfs/archive/48bd21beff0d2bc390070d8781f2ef0b692b7a6f.jpg@412w_232h_1c_!web-popular.avif,大鹏快开车,87.4万,9506
51,BV1FwageNEuG,打开那一下真崩不住了,//i0.hdslb.com/bfs/archive/140a0dea701c5eee0646008481cfaffd8e41ac96.jpg@412w_232h_1c_!web-popular.avif,被窝探险家QWQ丶,355.2万,732
52,BV1rz421z76t,猪锯速通!一镜到底！！,//i1.hdslb.com/bfs/archive/a11f7c71367b1bdcde1f5e4b94c93fb210016c2a.jpg@412w_232h_1c_!web-popular.avif,叶开叶师傅,159.4万,1541
53,BV1yz421z77x,如何让自己内核更加稳定，更加自信阳光，一个小方法,//i0.hdslb.com/bfs/archive/2f0dc9c83b5a77e963c397960b73682750c81e26.jpg@412w_232h_1c_!web-popular.avif,西一昂叨叨版,128.1万,328
54,BV1mM4m117XV,如何获得狗狗妈妈的芳心，方法已教 学不会我也没办法了,//i0.hdslb.com/bfs/archive/aa4e654f6cd092e083ba09bf537d79a66d11f018.jpg@412w_232h_1c_!web-popular.avif,SEE-NN,129.5万,193
55,BV12M4m11764,没苦硬吃——中国长辈的“受虐”体质,//i1.hdslb.com/bfs/archive/6af1396773f3cef73f6f0d19243353d816ad8f23.jpg@412w_232h_1c_!web-popular.avif,小小段砸,116.9万,2126
56,BV1J4421U7ZX,宝宝维多利亚家政 [絕區零],//i0.hdslb.com/bfs/archive/c6becf9b97e4a34bcacad04b645431d22752d8ba.jpg@412w_232h_1c_!web-popular.avif,SechiAnimation,97.2万,565
57,BV1jS411w7su,户外演示摘叶飞花，我被路人扎了！,//i1.hdslb.com/bfs/archive/82834a73b975f74a6cf5472005be8bcd26cd94ad.jpg@412w_232h_1c_!web-popular.avif,能量君andy,272.1万,1204
58,BV1kx4y1t7D4,Just sing 4,//i0.hdslb.com/bfs/archive/d166fb4c7d58c90ef5ce7c070e55fb7a13b3994f.jpg@412w_232h_1c_!web-popular.avif,FANCY4EVER,105.2万,997
59,BV1Nz421B7KS,《我与顾少的百亿婚约》番外篇,//i2.hdslb.com/bfs/archive/0c4db5b4318b8665c5b437144a73676b7b4c0ee3.jpg@412w_232h_1c_!web-popular.avif,派小轩,116.8万,1419
60,BV1hi421h7zn,纣王：妲己！你在偷看我对吧？！！,//i1.hdslb.com/bfs/archive/86eac385a4204b547bbc67e47ac26df77edbc982.jpg@412w_232h_1c_!web-popular.avif,马刀刻森,189.4万,4231
61,BV1qb421E7pp,世人皆歌颂她们的事迹，却又不断歧视、诋毁着她们的职业和性别，她们不该被遗忘《金陵十三钗》,//i1.hdslb.com/bfs/archive/9ecbfad7101f0358ca51941b8abff8027a44852b.jpg@412w_232h_1c_!web-popular.avif,糖叔不说剧,74.6万,2675
62,BV1ZH4y1w7Xw,《学猫叫》，但是弱智AI填词,//i2.hdslb.com/bfs/archive/ca438a9bfd53d833d2009887f5ad41f8b68f7e52.jpg@412w_232h_1c_!web-popular.avif,玛珂娜,93.5万,2866
63,BV11T421k7mA,当你开局只有「一格空间」需要获取物品才能扩大结界!!？,//i2.hdslb.com/bfs/archive/d6e362fa051b58d175c06297c23ffca6942d6081.jpg@412w_232h_1c_!web-popular.avif,马里奥红叔,164.2万,7617
64,BV19Z421K7sn,不像假的，再看看,//i1.hdslb.com/bfs/archive/0c3eda98354819dceb115569b461c675e534a242.jpg@412w_232h_1c_!web-popular.avif,Georgeaz21,158.4万,752
65,BV1gW421d74y,超硬核版MC？我们遭遇了「超巨型」怪物！？复古物语第七期,//i0.hdslb.com/bfs/archive/40f836518242375cbc6f8f7bf11c8393ea1b8d36.jpg@412w_232h_1c_!web-popular.avif,萝卜吃米洛,83.4万,2683
66,BV1qx4y1x7UE,真男人必看，面对穷山恶水的刁民，天狗仍然坚守心中的正义！,//i1.hdslb.com/bfs/archive/e96b2ea6d24e9f7335e2bba642b90d6aa477abef.jpg@412w_232h_1c_!web-popular.avif,小东北侃大片,571.3万,310
67,BV1hm421g7af,我们要拍绝区零，不能只拍绝区零...【绝区零摄影第一期】,//i0.hdslb.com/bfs/archive/70852141474fce4f3110a8c8c3c8806c8c841ce4.jpg@412w_232h_1c_!web-popular.avif,语堂天天啃土,162.2万,821
68,BV1XH4y1w7KT,当我们收集完足够点数准备屠龙通关「MC肉鸽世界」？？！,//i0.hdslb.com/bfs/archive/814a6fe1773708b12d194a203ff64c686fb82fbf.jpg@412w_232h_1c_!web-popular.avif,大炒面制造者Cen,76.3万,3591
69,BV1or421T7iY,在中专当老师是什么体验？,//i2.hdslb.com/bfs/archive/5949672f75f79557f47375451802c2fc6ab1da40.jpg@412w_232h_1c_!web-popular.avif,Shortlegs闻韬,275.7万,1110
70,BV1yz421z7V8,小学生逆天作业合集！语文老师都看哭了！,//i0.hdslb.com/bfs/archive/6c66974cd8fa0ceeb30be59b1fadbd083652b317.jpg@412w_232h_1c_!web-popular.avif,棉白有点笨,87.7万,2672
71,BV15f421q7P7,地球自转带来的独特银河景象,//i2.hdslb.com/bfs/archive/22d14e23c8e9dd1f09acc29344ae5bf540a24376.jpg@412w_232h_1c_!web-popular.avif,YouTube精选字幕组,95.1万,358
72,BV1ZM4m117Kj,地狱梗这东西上不得台面,//i1.hdslb.com/bfs/archive/b5664e9e5f17d46667a95f289d0059c750393656.jpg@412w_232h_1c_!web-popular.avif,老蒋巨靠谱,112.3万,1.9万
73,BV13w4m1Y7WJ,青青草原一条街，打听打听谁是爹,//i2.hdslb.com/bfs/archive/f803b48f57885d0811dd67aed06d2b32ab767271.jpg@412w_232h_1c_!web-popular.avif,梵葵葵,126.5万,733
74,BV1nW421R7zi,【绝区零】当遇到道德绑架,//i0.hdslb.com/bfs/archive/577a02365914dcb83f63d06957c2f2ca78da0de2.jpg@412w_232h_1c_!web-popular.avif,墨菲potato,113.7万,677
75,BV1jy411B7gr,一镜到底，人下水爆竿，长江巨型大头鱼上岸,//i0.hdslb.com/bfs/archive/68668133754c1bcff1827475a384047265452a53.jpg@412w_232h_1c_!web-popular.avif,湖畔兄弟,153.3万,2418
76,BV1Cx4y1x7xy,三花半挂,//i2.hdslb.com/bfs/archive/36b8f513737f50ae26f3f0853ed10a86ca1edf03.jpg@412w_232h_1c_!web-popular.avif,提米是三花,132.2万,1117
77,BV1BS421R7JW,发带不只用于约束你,//i1.hdslb.com/bfs/archive/ba24965fde2ae561afc84b4cd1ca13869b52d873.jpg@412w_232h_1c_!web-popular.avif,暗阳花-夏,96.3万,227
78,BV1nf421z7wF,融合的植物过于诡异！,//i0.hdslb.com/bfs/archive/407edeb194f7d2ef39ef23897e3f66f63e3587ee.jpg@412w_232h_1c_!web-popular.avif,我真是小熊Game,339.7万,1310
79,BV1R1421b7kC,小曲一响，主角登场！,//i0.hdslb.com/bfs/archive/725d82b7790520d3dfabec8d437ea25dc321eb6e.jpg@412w_232h_1c_!web-popular.avif,Breeze微分,129.4万,833
80,BV1XE421c7ji,妹妹最想删的一集,//i2.hdslb.com/bfs/archive/e9684ccff329854b9d2a610c5d8f8d304cd9a050.jpg@412w_232h_1c_!web-popular.avif,阿鱼Au_lishan,112.3万,471
81,BV1fS421R7VW,时长三小时，一口气带你了解，全世界神话体系【世界神话地图纯享版】,//i2.hdslb.com/bfs/archive/e50ca2f69be072b735ed24a98f6d1d301bd2b0b9.jpg@412w_232h_1c_!web-popular.avif,馆长刘下饭,156.9万,6241
82,BV1Bi421Y7ya,“这个东西....古时候有很多！”,//i2.hdslb.com/bfs/archive/04b74e5f9a3a121a6b893ca8865fc2355dca42aa.jpg@412w_232h_1c_!web-popular.avif,黑猫大少爷,100.3万,5927
83,BV1gf421q7nU,飞9000公里，探秘全球最离谱白人饭！这到底吃的啥？,//i0.hdslb.com/bfs/archive/9399ee87430c0062c65b4d4bb8267c3c7b086b7c.jpg@412w_232h_1c_!web-popular.avif,Meetfood觅食,144.3万,3074
84,BV1tz421z73b,我们造了个【缩小999倍】的房子!! 高手VS建筑对决!!,//i0.hdslb.com/bfs/archive/06d4a99f670a33e217be18869230b8561ee4c409.jpg@412w_232h_1c_!web-popular.avif,愉悦的hehe11,131.3万,6514
85,BV1Mw4m1Y7XP,⚡《视觉？盛宴！》⚡,//i2.hdslb.com/bfs/archive/7c866cdb7d14ec10f4bac1c47b46ade2e2ef2716.jpg@412w_232h_1c_!web-popular.avif,星耀_Azure,35.8万,2535
86,BV12T421k7KL,英雄不朽！中国福尔摩斯 刑侦八虎之首！,//i2.hdslb.com/bfs/archive/76d43e71c3ff76824d94587818ea9f3470db8236.jpg@412w_232h_1c_!web-popular.avif,野人少女79,133万,1428
87,BV1QH4y1w7c1,“爱一个人要给他自由，要与她同行。无论是风，花还是云 他们都有自己的生活。不是一个人依附于另一个人，你喜欢一朵花难道要把它摘下来，带着她慢慢枯萎吗”,//i1.hdslb.com/bfs/archive/bb8b74d9a2a2120fbc1860e29fec3e1c85b271b1.jpg@412w_232h_1c_!web-popular.avif,罗老师人生哲学观,100.8万,1236
88,BV1hS411c7wq,生腌，以后别联系了，我怕捞汁误会。,//i2.hdslb.com/bfs/archive/f147267e9ae8bbcef3711cd1281f5937d2d913ec.jpg@412w_232h_1c_!web-popular.avif,蚊子-学做美食,135.2万,955
89,BV1cx4y147Sy,中考零分作文,//i0.hdslb.com/bfs/archive/51ef0a6b153d909af6762ed70052f15ba2215ec0.jpg@412w_232h_1c_!web-popular.avif,摔跤菌,259.4万,1883
90,BV1bE421P7zG,我的世界硬核生存！【中世纪王国100天 】#1 在MC中建造自己的王朝！！,//i0.hdslb.com/bfs/archive/575ead87b1eacaacc4b34fc7fa1df1be9d86eeb4.jpg@412w_232h_1c_!web-popular.avif,Q弹的果冻c,63.1万,1886
91,BV1gW421d7us,【主播女孩重度依赖】新曲《きゅびびびびずむ》MV,//i0.hdslb.com/bfs/archive/317d04d6bc585414f45e777875c4db4fac61f302.jpg@412w_232h_1c_!web-popular.avif,WSS_playground官方,42.3万,960
92,BV14z421q7vp,当舔狗，就是为了赚钱【P1】,//i1.hdslb.com/bfs/archive/7421874033d615537c74c9e6c64829ef775d4b00.jpg@412w_232h_1c_!web-popular.avif,圆桌动漫,335.2万,3813
93,BV1Jx4y1x7jT,没想到矿泉水有这么多喝法，确实不错#饮料 #自制饮品 #复制奶茶 #测评,//i2.hdslb.com/bfs/archive/2ad3ca85143363fecc93a8e24f76aa4a7c6e9706.jpg@412w_232h_1c_!web-popular.avif,大聪明测评,368.2万,420
94,BV1fW421R747,当代年轻人的生活辅助神器！,//i0.hdslb.com/bfs/archive/d7d093ac757786b7011a3a917875999e33022a44.jpg@412w_232h_1c_!web-popular.avif,谭井同学,472.6万,81
95,BV1kz421q7SN,fufu：你 有 猫 饼 ~,//i1.hdslb.com/bfs/archive/9c1f71b34b31889dc7c0aaaa2c81b2a9ea518633.jpg@412w_232h_1c_!web-popular.avif,点滴miku,63.6万,167
96,BV1sm421g7mM,真是离离原上谱 个个都离谱,//i2.hdslb.com/bfs/archive/a254e1a677d9649a8ab27ae82cdf1490863720f6.jpg@412w_232h_1c_!web-popular.avif,CP神-余忆童稚时,207.8万,2907
97,BV1nW421R7sf,【新恐怖生存】又是096堵门的一天。。。,//i1.hdslb.com/bfs/archive/0dc283bdb4943fb98e255b9a7743042c69b9f49b.jpg@412w_232h_1c_!web-popular.avif,拖更的小凡,237.2万,332
98,BV13E4m1R7kS,鲨鱼娘生“鱼苗”凶手别赞会暴露！【绝区零】,//i1.hdslb.com/bfs/archive/439c57bba137a37a7e8a1dd71899a015522f09e6.jpg@412w_232h_1c_!web-popular.avif,裙摆秀,160.7万,633
99,BV1VZ421u7K3,辣椒致死量！到了贵州才知道，这玩意儿跟外地的根本不一样！,//i2.hdslb.com/bfs/archive/d00d42a944d95d30030217b8ce82fc79a7ee9552.jpg@412w_232h_1c_!web-popular.avif,盗月社食遇记,146.2万,6699
100,BV1ZE421A7aG,如何让自己的小孩赢在起跑线？,//i1.hdslb.com/bfs/archive/0f0e686a4027762e7deb2affe5311e3b0ade8244.jpg@412w_232h_1c_!web-popular.avif,Just渡亿特,99.4万,934
