rank,BV,title,img,up_name,plays,barrage
1,BV1GE4m1R7k5,《绝区零》世界观PV | 奇迹的起点,//i0.hdslb.com/bfs/archive/3fb0df7ab01b6871b19d1cba553d59f594db6e31.jpg@412w_232h_1c_!web-popular.avif,绝区零,590.4万,1.4万
2,BV1n6421f75a,我要创造一个有你的世界啊啊！2024年4月新番完结吐槽！【泛式】,//i1.hdslb.com/bfs/archive/94a2c4e4be626ea98f555f5584e1bc91dfca50da.jpg@412w_232h_1c_!web-popular.avif,泛式,197万,1.5万
3,BV13W421d7vA,这是天才做的陷阱！,//i1.hdslb.com/bfs/archive/0ccb49cf61ecbdf8efa2103140289a8c142abb6c.jpg@412w_232h_1c_!web-popular.avif,幕川北,459.6万,1328
4,BV1SH4y1F7fG,汉尼扳致青春：用《See You Again》送别高考岁月，迎接崭新未来,//i1.hdslb.com/bfs/archive/2f9acb4586c24d742d15a29f05190276a799a461.jpg@412w_232h_1c_!web-popular.avif,汉尼扳,134.4万,2717
5,BV1oH4y1F7P9,【何同学】不用脚，你能把球踢多远？,//i0.hdslb.com/bfs/archive/3db1226206e6d4e2596a1543f3da29b45afa59f2.jpg@412w_232h_1c_!web-popular.avif,老师好我叫何同学,279.8万,1.4万
6,BV171421k7j9,【MrBeast公益】我们让1000人恢复了听力,//i2.hdslb.com/bfs/archive/d91b5cb6e8e450c06d989c5d0287d978cc572eae.jpg@412w_232h_1c_!web-popular.avif,MrBeast官方账号,185.6万,1893
7,BV1ZH4y1w7yf,当一只中国兔子闯入美国人活动现场,//i2.hdslb.com/bfs/archive/ce211d3451be4df642748800ba11886bfbe4baea.jpg@412w_232h_1c_!web-popular.avif,小小可的快乐生活,433.1万,1799
8,BV1zJ4m1T7jq,不是，我也没眨眼啊？？！,//i2.hdslb.com/bfs/archive/ad5ae60f24d9d5fb66064c344eb9d177b61b14d8.jpg@412w_232h_1c_!web-popular.avif,黑漫君,339.1万,1160
9,BV1yr421T7GT,上高铁 发现自己有了孩子,//i1.hdslb.com/bfs/archive/9fd436ce34ce528befac1fce27ad41707e6eae58.jpg@412w_232h_1c_!web-popular.avif,meme的爆米花,243.6万,1648
10,BV1eb421E7AR,针锋相对！,//i0.hdslb.com/bfs/archive/8a3a352ee1bff4f7be4a516c274019afa922dfc1.jpg@412w_232h_1c_!web-popular.avif,脱缰凯Kk,328.1万,4935
11,BV1eZ421T78x,喜欢的人得了绝症怎么办？,//i2.hdslb.com/bfs/archive/5d90f3a4ddbebdb2cb38f57189a6e0bb0d581d45.jpg@412w_232h_1c_!web-popular.avif,方山厨子,178.6万,2724
12,BV1Ex4y1t7dE,【绝区零】艾莲：请选择您的服务，魂淡~,//i0.hdslb.com/bfs/archive/9366a3ab668f45bb637c0d70f43350cf4df2c54a.jpg@412w_232h_1c_!web-popular.avif,一万根韭菜,264.9万,1256
13,BV1kb421n7ec,【猫meme】跟momo去办案：街头车战抓毒贩,//i1.hdslb.com/bfs/archive/1794c1b5f1d62e06892abee4b3ed7abfd0a09501.jpg@412w_232h_1c_!web-popular.avif,当牛做马的momo,118.9万,1820
14,BV1tW421R77P,这才是中国人的顶级浪漫,//i0.hdslb.com/bfs/archive/a696e88b7733d7f6f600fb0d3252fc34f26bf608.jpg@412w_232h_1c_!web-popular.avif,磐石纪录片,730.4万,1356
15,BV1rx4y1t7XT,【医学博士】每天凌晨3点睡，多少天会死？| 如何把熬夜危害控制到最小？,//i2.hdslb.com/bfs/archive/86b5bddaf587bb2f9a43d71c4b368acb3d758e6a.jpg@412w_232h_1c_!web-popular.avif,兔叭咯,200.4万,4544
16,BV1kM4m117Fw,猫又：我什么都会跳⚡️⚡️！二十分钟 超长版,//i2.hdslb.com/bfs/archive/2a5cb353c6e0fe33ae990a639afee6c7724eded7.jpg@412w_232h_1c_!web-popular.avif,弗莱萌-FMWN,92万,1217
17,BV1zZ421T7uP,去年自己乱写的曲 我原来这么厉害吗,//i0.hdslb.com/bfs/archive/eb49bf84ed4d2f7dfeae8aa5f2b8a5e2a41483e7.jpg@412w_232h_1c_!web-popular.avif,令羽木衍,105.1万,2772
18,BV12Z421K7Pt,从徐州连夜开车又一次赶往南京，连夜筹备了24000瓶饮用水，62400桶方便面赶紧送往湖南岳阳华容！绵薄之力为灾区加油。,//i1.hdslb.com/bfs/archive/e8564f9e03fc67e68258da76ac3a3058bcd937c3.jpg@412w_232h_1c_!web-popular.avif,superB太,127.6万,1609
19,BV1NS411w7Yf,植物大战僵尸杂交版v2.2版本宣传片,//i2.hdslb.com/bfs/archive/547f4aef255f44f2e996d6269b434e1b5bc9635a.jpg@412w_232h_1c_!web-popular.avif,潜艇伟伟迷,367.7万,3768
20,BV1LE4m1R7yo,《恋与深空》秦彻概念短片「有形之锢」,//i0.hdslb.com/bfs/archive/e644d374d0c6c9f27640e98e5b2e4ec19090a53a.png@412w_232h_1c_!web-popular.avif,恋与深空,192.4万,5461
21,BV1om421G7uE,一人乐队《舞女》,//i1.hdslb.com/bfs/archive/ec9bbaccbd160029db7c96992003db9d3776eb92.jpg@412w_232h_1c_!web-popular.avif,罗应星一个人的乐队,224.3万,1275
22,BV1DZ421K78g,天下大事无一逃过您的耳目,//i2.hdslb.com/bfs/archive/a0035acf240c7a4222bd299e60804eaa4f94d04f.jpg@412w_232h_1c_!web-popular.avif,楠故故意的,178万,3834
23,BV1uJ4m1M7Ki,一秒长大,//i0.hdslb.com/bfs/archive/bad37f75fa7912a095a62f78d33911d2e25b6622.jpg@412w_232h_1c_!web-popular.avif,钱多多的小时候,186.4万,979
24,BV1zz421z7KE,不管唱的好不好 姿势一定要到位#时候 #苏运莹 #翻唱,//i0.hdslb.com/bfs/archive/a484560f2db372772bf0881557318bf8ecf44df3.jpg@412w_232h_1c_!web-popular.avif,摇不正,143.7万,694
25,BV1Ff421q7v3,虎门销烟现代版：帮小孩戒烟卡,//i2.hdslb.com/bfs/archive/2bf5badbe6e872888d75d09819bf631b32c5c4fb.jpg@412w_232h_1c_!web-popular.avif,黄老虎-大变魔术师,245.3万,1267
26,BV1Eb421n7eh,【绝区零】35级前能救一个是一个，开荒期避坑指南，10个必看技巧！,//i2.hdslb.com/bfs/archive/1106981d9c3338f6388eaa2548d7689d68b45614.jpg@412w_232h_1c_!web-popular.avif,泡椒_泡椒,267.1万,3302
27,BV1M1421k7NM,评分5.3！载入史册的大烂活！论京吹3结局为什么是一坨大份,//i2.hdslb.com/bfs/archive/79375b8cb838c3d5285fd33d0ee359a42efb6e54.jpg@412w_232h_1c_!web-popular.avif,瓶子君152,106.3万,4688
28,BV1Ex4y1x7eq,一！定！要！看！到！最！后！啊！,//i0.hdslb.com/bfs/archive/f9f8f01563f3d38c574ccb0fe5a921f9f2fbc5e3.jpg@412w_232h_1c_!web-popular.avif,Minecraft雨龙,201.6万,1784
29,BV14T421Y7ve,终于来了，完美的神之卡【水无月菌】,//i0.hdslb.com/bfs/archive/e6a4d0dee663901dbbcffd9ab6f86d3aa14a7c10.jpg@412w_232h_1c_!web-popular.avif,水无月菌,221.3万,6225
30,BV1zx4y1x74t,【(G)I-DLE】- 'Klaxon' M/V,//i2.hdslb.com/bfs/archive/bdf86c0ca53dd2c0a794f43b92551b1b32de7a50.jpg@412w_232h_1c_!web-popular.avif,GIDLE_official,93.5万,2.8万
31,BV1MZ421T7D9,男生刚开学 VS 女生刚开学,//i2.hdslb.com/bfs/archive/e86dacd027893ece24eb9664115060055caf606c.jpg@412w_232h_1c_!web-popular.avif,面粉社长,351.3万,1419
32,BV1ei421Y7BT,绝区零未来规划曝光！超乎你的想象！,//i1.hdslb.com/bfs/archive/7f10ac43cfbb225541732b9f92989b128af50f28.jpg@412w_232h_1c_!web-popular.avif,改-放,104.1万,3227
33,BV1ym421g7kX,当我用中式教育对待爸妈,//i0.hdslb.com/bfs/archive/0e3113c8bb62fc1e9e38372f8410bd65464edcba.jpg@412w_232h_1c_!web-popular.avif,三笠青钢影o,198.9万,605
34,BV1dShseeEP9,大学生租房时，这些话千万不能说!!!#租房避雷 #应届生 #毕业季租房 #出租屋  #i人,//i1.hdslb.com/bfs/archive/c6a3ac72575e5c55dc54f563344212665c1dc3e5.jpg@412w_232h_1c_!web-popular.avif,叫我董一只,158.7万,430
35,BV1h6hxe8E7a,全网最简单！给我一首歌的时间教你11号刀刀烈火！包会的,//i2.hdslb.com/bfs/archive/2d7ed12aee6a249593e21b8e0fae2aeac9f4a622.jpg@412w_232h_1c_!web-popular.avif,桐崎Kirisaki,270.6万,1180
36,BV1ab421E7rQ,饭店到处带电，查了一个多月的没找到原因。,//i2.hdslb.com/bfs/archive/0f2c5037b5563d1e3ee2f23cacfc104b952f2fe4.jpg@412w_232h_1c_!web-popular.avif,城阳电工电路,312.5万,8738
37,BV1nE4m1R75H,新一代“网红按斤称零食”来袭！这是给超雄吃的吧？,//i2.hdslb.com/bfs/archive/39efd038f20bd775458a7a4843d1d2e46fdc9674.jpg@412w_232h_1c_!web-popular.avif,穿毛裤的小拉泽,305.7万,5459
38,BV1cz421B7vf,《三步上坟》,//i0.hdslb.com/bfs/archive/568476b92a1ef65927d7fab7338d9ef62518d3a3.jpg@412w_232h_1c_!web-popular.avif,伤心欲茄222,160.2万,1155
39,BV1YE421A7ZV,每次死的都那么自信!,//i0.hdslb.com/bfs/archive/c1cc1f22c034e9d92a72b5c62384a8ca57d4b936.jpg@412w_232h_1c_!web-popular.avif,老Biu,324.9万,2086
40,BV14J4m1M7oC,来人，把这几个给我抓回去！,//i2.hdslb.com/bfs/archive/77362c9ff178339da1915b382e4b9bbd28f6bdbe.jpg@412w_232h_1c_!web-popular.avif,Mystery少女企划,112.7万,811
41,BV1vb421E7y7,带着全村的男女老幼去旅游，是什么体验？,//i0.hdslb.com/bfs/archive/b55c92c57b227409a2e00b68aa2c131ee63b7150.jpg@412w_232h_1c_!web-popular.avif,建康啊,64.7万,2555
42,BV1YT421Y7pa,搞懂绝区零未来七年布局！为何说绝区零一切皆有可能?,//i0.hdslb.com/bfs/archive/1bb163ae21ed2e4019ef7ea99b9d09de97bbe7bd.jpg@412w_232h_1c_!web-popular.avif,果蝇轰,105.2万,4414
43,BV1Sr421T7Jg,夺命防水裤的安全隐患,//i0.hdslb.com/bfs/archive/d0a82b62b8235cc0db89d54ba5283778857a7f7b.jpg@412w_232h_1c_!web-popular.avif,亲爱的国民表哥,145.7万,651
44,BV1Hy411i7Ty,唯一的同事死了，可我每晚都能听见敲门声，外面到底是谁？,//i1.hdslb.com/bfs/archive/11422fc3d21455bd4d4ce00a98a8203fdd74e88d.jpg@412w_232h_1c_!web-popular.avif,我是江无情,279万,2214
45,BV1qx4y1t7oB,（当 别 人 误 以 为 你 是 弱 鸡 .. ）,//i0.hdslb.com/bfs/archive/5ae84b020f2da5d7382e114efa96f8e20fdd8f6e.jpg@412w_232h_1c_!web-popular.avif,星有野,250.3万,1191
